Code,Name,County,PreK Region,Total Served by All Programs (unduplicated) 3s & 4s,Total Full Day Seats (unduplicated) 3s & 4s,Total Half Day Seats (unduplicated)  3s & 4s,Total UPK              (Half and Full Day),Half-Day UPK 3-Yr.-Olds,Half-Day UPK 4-Yr.-Olds,Total Half-Day UPK,Full-Day UPK 3-Yr.-Olds,Full-Day UPK 4-Yr.-Olds,Total Full-Day UPK,Total Conversions (other grants),Full-Day UPK 4-Yr.-Olds,Total Full-Day UPK,New Full-Day Seats,Conversion Seats,Total Seats Served by SUFDPK,New Full-Day Seats,Total Seats Served by Federal SUFDPK,New Full-Day Seats,Conversion Seats,Total Seats Served by SUFDPK,Total TPK              (Half and Full Day),Half-Day TPK 3-Yr.-Olds,Half-Day TPK 4-Yr.-Olds,Total Half-Day TPK,Full-Day TPK 3-Yr.-Olds,Full-Day TPK 4-Yr.-Olds,Total Full-Day TPK,Students Served in Half Day Slots,Students Served in Full Day Slots,2021-22 PROXY FOR UNSERVED FOUR-YEAR-OLDS,Percentage Served         2021-22
060301,FREWSBURG     ,CHAUTAUQUA,Western New York,39 ,39 ,0 ,21 ,0 ,0 ,0 ,0 ,21 ,21 ,0 ,0 ,0 ,0 ,0 ,0 ,18 ,18 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,39 ,36,100%
060401,CASSADAGA VALL,CHAUTAUQUA,Western New York,74 ,74 ,0 ,53 ,0 ,0 ,0 ,0 ,53 ,53 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,21 ,0 ,21 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,53 ,52,100%
060503,CHAUTAUQUA    ,CHAUTAUQUA,Western New York,25 ,25 ,0 ,10 ,0 ,0 ,0 ,0 ,10 ,10 ,0 ,15 ,15 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,25 ,31,81%
060601,PINE VALLEY   ,CHAUTAUQUA,Western New York,41 ,41 ,0 ,27 ,0 ,0 ,0 ,15 ,12 ,27 ,0 ,0 ,0 ,0 ,0 ,0 ,14 ,14 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,26 ,25,100%
060701,CLYMER        ,CHAUTAUQUA,Western New York,15 ,15 ,0 ,8 ,0 ,0 ,0 ,0 ,8 ,8 ,0 ,7 ,7 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,15 ,13,100%
060800,DUNKIRK       ,CHAUTAUQUA,Western New York,180 ,158 ,22 ,180 ,0 ,22 ,22 ,81 ,77 ,158 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,22 ,77 ,129,77%
061001,BEMUS POINT   ,CHAUTAUQUA,Western New York,36 ,36 ,0 ,36 ,0 ,0 ,0 ,0 ,36 ,36 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,36 ,40,90%
061101,FALCONER      ,CHAUTAUQUA,Western New York,46 ,46 ,0 ,46 ,0 ,0 ,0 ,0 ,46 ,46 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,46 ,52,88%
061501,SILVER CREEK  ,CHAUTAUQUA,Western New York,61 ,61 ,0 ,41 ,0 ,0 ,0 ,0 ,41 ,41 ,16 ,0 ,0 ,20 ,16 ,36 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,61 ,54,100%
061503,FORESTVILLE   ,CHAUTAUQUA,Western New York,20 ,20 ,0 ,20 ,0 ,0 ,0 ,0 ,20 ,20 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,20 ,15,100%
